iter	Accuracy	Logloss
778	0.9980916031	0.08970456454
779	0.9980916031	0.08952665508
780	0.9980916031	0.0893107525
781	0.9980916031	0.08920428633
782	0.9980916031	0.0888757092
783	0.9980916031	0.0886523577
784	0.9980916031	0.08851658606
785	0.9980916031	0.08838844065
786	0.9980916031	0.08828039035
787	0.9980916031	0.0881787692
788	0.9980916031	0.08797200307
789	0.9980916031	0.08779962107
790	0.9980916031	0.08765191165
791	0.9980916031	0.08750312283
792	0.9980916031	0.08737324738
793	0.9980916031	0.08720263517
794	0.9977099237	0.08708059483
795	0.9977099237	0.08691197019
796	0.9977099237	0.08668647855
797	0.9977099237	0.08649882624
798	0.9977099237	0.08624557869
799	0.9977099237	0.08612186613
800	0.9977099237	0.0859254077
801	0.9977099237	0.08579997603
802	0.9977099237	0.08568717729
803	0.9980916031	0.08550002443
804	0.9977099237	0.08530738009
805	0.9977099237	0.08514507486
806	0.9980916031	0.08489015292
807	0.9984732824	0.08467853353
808	0.9984732824	0.08454508534
809	0.9984732824	0.08448057099
810	0.9980916031	0.08437372966
811	0.9984732824	0.08431151263
812	0.9984732824	0.08415980027
813	0.9984732824	0.08400777398
814	0.9984732824	0.08386358148
815	0.9984732824	0.08373637871
816	0.9984732824	0.08361626275
817	0.9984732824	0.08353811275
818	0.9988549618	0.08340450441
819	0.9988549618	0.0832435553
820	0.9988549618	0.08309547461
821	0.9988549618	0.082864737
822	0.9988549618	0.08275337865
823	0.9988549618	0.08259576139
824	0.9988549618	0.08250030781
825	0.9988549618	0.08236880903
826	0.9988549618	0.08226066711
827	0.9988549618	0.08214458326
828	0.9988549618	0.08201248916
829	0.9988549618	0.08185638881
830	0.9988549618	0.08157955413
831	0.9988549618	0.08144307806
832	0.9988549618	0.08131872289
833	0.9988549618	0.08122757838
834	0.9988549618	0.08114983731
835	0.9988549618	0.08101383143
836	0.9988549618	0.08086319109
837	0.9988549618	0.08070792631
838	0.9988549618	0.08056193283
839	0.9988549618	0.08041085983
840	0.9988549618	0.08025314776
841	0.9988549618	0.08014473866
842	0.9988549618	0.0800497804
843	0.9988549618	0.0798869191
844	0.9988549618	0.07976391866
845	0.9988549618	0.07967004684
846	0.9988549618	0.07960855925
847	0.9988549618	0.07947945948
848	0.9988549618	0.07919096503
849	0.9988549618	0.07902089139
850	0.9988549618	0.07884027306
851	0.9992366412	0.07873692848
852	0.9992366412	0.07860630261
853	0.9992366412	0.07841069603
854	0.9992366412	0.07832293093
855	0.9992366412	0.07819794867
856	0.9992366412	0.07811146846
857	0.9992366412	0.07805041009
858	0.9992366412	0.07788421489
859	0.9992366412	0.07771015435
860	0.9992366412	0.07757687926
861	0.9996183206	0.07754360858
862	0.9996183206	0.07747501076
863	0.9996183206	0.0773549385
864	1	0.07720039355
865	1	0.0771146462
866	1	0.07704072055
867	1	0.07690726417
868	1	0.0768006827
869	1	0.0766906849
870	1	0.07653818081
871	1	0.07640277243
872	1	0.07627423244
873	1	0.07614008654
874	1	0.07603317063
875	1	0.07593863757
876	1	0.07577130626
877	1	0.07567325265
878	1	0.07552237428
879	1	0.07538643279
880	1	0.07525844702
881	1	0.07512777686
882	1	0.07500117857
883	1	0.07492043482
884	1	0.07475852427
885	1	0.07468337115
886	1	0.07457641397
887	1	0.07447706349
